Age_Group,Count,Accuracy,Precision,Recall,F1
<50,18,1.0,1.0,1.0,1.0
50-60,28,0.8928571428571429,0.8666666666666667,0.9285714285714286,0.896551724137931
60+,15,0.7333333333333333,0.7272727272727273,0.8888888888888888,0.8
