Model,Accuracy,Precision,Recall,F1,ROC_AUC
Logistic Regression,0.8852459016393442,0.8387096774193549,0.9285714285714286,0.8813559322033898,0.9675324675324676
Random Forest,0.8852459016393442,0.8387096774193549,0.9285714285714286,0.8813559322033898,0.9415584415584415
